canny_threshold1,canny_threshold2,min_line_length,max_line_gap,hough_threshold,false_positives,true_positives,precision,recall,f1_score
469,64,99,1,429,16,51,0.7611940298507462,0.5151515151515151,0.6144578313253012
218,217,360,9,106,6,91,0.9381443298969072,0.9191919191919192,0.9285714285714285
218,217,359,9,110,7,89,0.9270833333333334,0.898989898989899,0.9128205128205129
218,217,359,9,109,6,89,0.9368421052631579,0.898989898989899,0.9175257731958762
218,218,359,9,110,8,88,0.9166666666666666,0.8888888888888888,0.9025641025641026
486,89,470,48,486,21,56,0.7272727272727273,0.5656565656565656,0.6363636363636364
83,73,475,50,53,114,99,0.4647887323943662,1.0,0.6346153846153846
219,217,360,9,106,6,91,0.9381443298969072,0.9191919191919192,0.9285714285714285
219,217,359,9,109,6,89,0.9368421052631579,0.898989898989899,0.9175257731958762
219,217,359,9,110,7,89,0.9270833333333334,0.898989898989899,0.9128205128205129
68,71,471,13,484,102,95,0.48223350253807107,0.9595959595959596,0.6418918918918919
219,215,361,9,109,10,92,0.9019607843137255,0.9292929292929293,0.9154228855721392
388,477,233,50,498,2,28,0.9333333333333333,0.2828282828282828,0.43410852713178294
219,215,360,9,109,10,92,0.9019607843137255,0.9292929292929293,0.9154228855721392
60,426,324,50,439,60,73,0.5488721804511278,0.7373737373737373,0.6293103448275863
366,285,495,35,82,34,80,0.7017543859649122,0.8080808080808081,0.7511737089201878
495,184,63,46,52,114,96,0.45714285714285713,0.9696969696969697,0.6213592233009709
56,52,401,32,447,114,99,0.4647887323943662,1.0,0.6346153846153846
219,215,362,9,109,10,92,0.9019607843137255,0.9292929292929293,0.9154228855721392
51,291,489,31,54,108,99,0.4782608695652174,1.0,0.6470588235294118
362,239,485,41,434,22,71,0.7634408602150538,0.7171717171717171,0.7395833333333334
219,214,362,9,109,10,92,0.9019607843137255,0.9292929292929293,0.9154228855721392
219,214,362,9,108,7,89,0.9270833333333334,0.898989898989899,0.9128205128205129
383,475,90,38,58,112,87,0.4371859296482412,0.8787878787878788,0.5838926174496645
219,214,362,10,107,7,92,0.9292929292929293,0.9292929292929293,0.9292929292929293
220,214,361,10,110,9,91,0.91,0.9191919191919192,0.9145728643216081
103,263,490,48,481,84,92,0.5227272727272727,0.9292929292929293,0.6690909090909091
220,214,361,10,109,10,91,0.900990099009901,0.9191919191919192,0.91
219,215,362,10,108,9,90,0.9090909090909091,0.9090909090909091,0.9090909090909091
219,215,363,9,107,5,86,0.945054945054945,0.8686868686868687,0.9052631578947369
219,215,362,10,105,7,92,0.9292929292929293,0.9292929292929293,0.9292929292929293
219,215,361,10,107,7,92,0.9292929292929293,0.9292929292929293,0.9292929292929293
220,215,360,10,109,10,91,0.900990099009901,0.9191919191919192,0.91
219,215,361,10,108,9,90,0.9090909090909091,0.9090909090909091,0.9090909090909091
219,215,362,10,107,7,92,0.9292929292929293,0.9292929292929293,0.9292929292929293
55,297,50,49,241,113,99,0.4669811320754717,1.0,0.6366559485530546
